Jogador;1250;DERROTA;2026-06-20 23:42
Jogador;1030;DERROTA;2026-06-21 15:46

Jogador;1250;DERROTA;2026-06-21 15:57
Jogador;4400;VITORIA;2026-06-21 17:41
Jogador;20;DERROTA;2026-06-21 17:41
Jogador;0;DERROTA;2026-06-21 17:42
Jogador;60;DERROTA;2026-06-21 17:42
Jogador;410;DERROTA;2026-06-21 17:43
Jogador;1810;DERROTA;2026-06-21 17:44
Jogador;140;DERROTA;2026-06-21 17:44
Jogador;1310;DERROTA;2026-06-21 17:45
Jogador;4300;VITORIA;2026-06-21 17:46
Jogador;140;DERROTA;2026-06-21 17:49
Jogador;0;DERROTA;2026-06-21 17:49
Jogador;20;DERROTA;2026-06-21 17:49
Jogador;520;DERROTA;2026-06-21 17:49
Jogador;910;DERROTA;2026-06-21 18:22
